Date,Open*,High,Low,Close**,Volume,Market Cap
13-Nov-18,210.15,210.52,206.14,206.83,"1,610,260,000","21,341,261,802"
14-Nov-18,206.53,207.05,174.08,181.4,"2,595,330,000","18,721,032,761"
15-Nov-18,181.9,184.25,170.19,180.81,"2,638,410,000","18,663,659,629"
16-Nov-18,180.87,181.35,173.13,175.18,"2,015,330,000","18,086,156,169"
17-Nov-18,175.36,175.85,172.87,174,"1,832,800,000","17,968,221,715"
18-Nov-18,174.18,179.15,174.18,177.07,"1,810,920,000","18,288,411,984"
19-Nov-18,177.18,177.18,147.85,149.18,"2,745,160,000","15,410,551,811"
20-Nov-18,148.81,151.25,126.36,130.34,"3,134,410,000","13,467,303,239"
21-Nov-18,131.14,138.89,125.76,136.7,"2,685,930,000","14,127,420,909"
22-Nov-18,136.81,137.74,126.71,126.71,"1,792,150,000","13,097,009,562"
23-Nov-18,126.42,127.03,119.56,123.3,"1,998,010,000","12,747,016,419"
24-Nov-18,123.3,126.79,110.83,113.49,"1,800,960,000","11,735,901,799"
25-Nov-18,113.13,118.88,101.77,116.45,"2,466,750,000","12,043,900,588"
26-Nov-18,116.34,118.2,104.89,108.34,"2,139,490,000","11,206,775,318"
27-Nov-18,107.91,111.84,102.45,110.01,"2,320,010,000","11,382,216,773"
28-Nov-18,110.2,126.05,110.2,122.44,"2,673,470,000","12,670,491,119"
29-Nov-18,122.72,123.23,115.3,117.54,"2,196,099,151","12,166,285,642"
30-Nov-18,117.73,119.42,111.74,113.17,"2,020,748,396","11,716,096,076"
01-Dec-18,113.4,120.84,111.62,118.64,"2,131,475,768","12,284,117,522"
02-Dec-18,118.27,120.56,116.09,116.39,"1,856,199,149","12,053,770,487"
03-Dec-18,116.38,116.62,107.42,108.93,"1,772,756,193","11,282,911,404"
04-Dec-18,108.8,113.14,107.4,110.21,"1,748,116,495","11,418,617,063"
05-Dec-18,110.34,110.6,102.48,102.48,"1,990,157,607","10,618,884,099"
06-Dec-18,102.45,104.1,91.76,91.76,"2,310,716,932","9,510,417,097"
07-Dec-18,91.65,96.09,83.47,93.29,"2,554,304,530","9,671,177,427"
08-Dec-18,93.41,97.06,86.83,92.16,"1,855,759,401","9,555,327,946"
09-Dec-18,92.04,98.9,91.03,95.14,"1,875,567,180","9,866,414,732"
10-Dec-18,94.99,96.26,90.65,91.69,"1,756,437,577","9,509,816,315"
11-Dec-18,91.58,92.78,87.69,88.95,"1,707,497,898","9,227,301,064"
12-Dec-18,88.61,92.24,88.26,90.59,"1,533,050,103","9,400,044,026"
13-Dec-18,90.66,91.11,85.52,86.54,"1,754,475,622","8,981,108,543"
14-Dec-18,86.63,87.14,83.23,84.31,"1,651,491,877","8,751,209,554"
15-Dec-18,84.28,85.34,82.83,84.44,"1,496,176,898","8,766,638,124"
16-Dec-18,84.47,87.57,84.47,85.26,"1,565,817,037","8,853,567,311"
17-Dec-18,85.38,96.81,85.38,95.13,"2,101,453,024","9,880,456,239"
18-Dec-18,95.11,101.32,92.97,101.11,"2,277,514,076","10,503,295,749"
19-Dec-18,101.68,108.55,100.69,101.27,"2,456,482,115","10,521,416,481"
20-Dec-18,101.09,117.17,100.64,116.22,"3,063,842,618","12,076,674,310"
21-Dec-18,115.84,119.09,107.58,109.5,"2,632,539,990","11,380,357,569"
22-Dec-18,109.46,116.76,107.5,116.76,"2,338,772,939","12,137,481,655"
23-Dec-18,117.27,133.08,117.27,130.77,"3,579,715,061","13,595,887,732"
24-Dec-18,130.64,157.67,130.64,140.24,"4,370,343,387","14,583,457,939"
25-Dec-18,141,141,125.11,129.84,"3,298,280,609","13,505,089,290"
26-Dec-18,129.89,136.68,126.29,131.87,"2,720,469,126","13,717,858,346"
27-Dec-18,131.92,132.68,115.65,116.58,"2,612,804,378","12,129,493,222"
28-Dec-18,116.9,137.65,115.69,137.65,"3,130,201,009","14,324,511,544"
29-Dec-18,138.47,147.03,134.57,138.02,"3,169,029,972","14,365,797,196"
30-Dec-18,137.63,140.69,133.98,139.86,"2,660,086,834","14,560,066,114"
31-Dec-18,140.03,140.18,132.52,133.37,"2,358,360,234","13,886,837,730"
01-Jan-19,133.42,141.4,132.65,140.82,"2,258,709,868","14,665,318,370"
02-Jan-19,141.52,156.93,140.65,155.05,"3,328,240,369","16,150,049,902"
03-Jan-19,155.2,155.86,147.2,149.14,"2,676,164,880","15,536,849,936"
04-Jan-19,148.91,156.88,147.91,154.58,"3,126,192,535","16,107,068,093"
05-Jan-19,154.34,160.82,154.34,155.64,"3,338,211,928","16,219,974,745"
06-Jan-19,155.8,159.37,152.09,157.75,"3,231,294,371","16,442,429,109"
07-Jan-19,157.81,158.45,151.15,151.7,"2,712,108,388","15,814,868,678"
08-Jan-19,151.97,153.63,148.67,150.36,"2,459,808,140","15,677,889,902"
09-Jan-19,150.55,153.62,150.29,150.8,"2,369,241,197","15,726,845,711"
10-Jan-19,150.84,152.15,126.53,128.63,"3,397,734,456","13,416,263,931"
11-Jan-19,127.81,130.17,125.24,127.55,"2,667,585,234","13,306,214,134"
12-Jan-19,127.53,128.67,125.45,125.97,"2,212,109,224","13,143,426,379"
13-Jan-19,125.91,126.27,116.09,116.9,"2,268,263,944","12,199,288,487"
14-Jan-19,116.98,130.86,116.97,129.07,"2,798,085,735","13,471,754,802"
15-Jan-19,129.17,130.74,120.31,122.03,"2,735,449,164","12,739,543,688"
16-Jan-19,121.81,127.12,121.44,123.55,"2,746,469,340","12,899,812,275"
17-Jan-19,123.57,124.27,120.82,123.74,"2,594,091,285","12,922,347,330"
18-Jan-19,123.65,123.84,120.24,121.01,"2,305,389,800","12,639,234,713"
19-Jan-19,121.61,125.9,121.16,124.52,"3,048,261,797","13,007,954,846"
20-Jan-19,124.63,125.07,118.7,119.47,"2,964,108,269","12,483,136,112"
21-Jan-19,119.64,119.72,116.16,117.16,"2,421,720,343","12,242,940,197"
22-Jan-19,117.11,119.66,114.68,118.75,"2,552,507,405","12,410,972,241"
23-Jan-19,118.71,119.42,116.38,117.45,"2,556,952,198","12,277,481,872"
24-Jan-19,117.46,118.03,116.01,117.36,"2,520,843,420","12,269,992,351"
25-Jan-19,117.59,117.8,115.83,116.38,"2,606,881,898","12,168,932,300"
26-Jan-19,116.37,118.08,115.98,116.49,"2,412,181,169","12,182,338,148"
27-Jan-19,116.51,116.69,113.41,113.41,"2,775,888,287","11,861,671,822"
28-Jan-19,113.29,113.69,103.34,106.59,"3,366,895,505","11,150,461,958"
29-Jan-19,106.72,107.17,104,105.6,"2,900,418,606","11,048,347,342"
30-Jan-19,105.41,109.45,104.84,108.91,"2,874,370,355","11,396,282,341"
31-Jan-19,108.9,110.46,106.53,107.06,"2,828,796,031","11,204,735,502"
01-Feb-19,107.15,108.64,105.05,107.61,"2,541,271,519","11,263,815,610"
02-Feb-19,107.47,110.65,106.76,110.43,"2,385,157,838","11,560,765,573"
03-Feb-19,110.49,110.83,106.56,107.49,"2,519,334,757","11,254,870,706"
04-Feb-19,107.63,108.7,107.07,107.82,"2,491,888,675","11,290,969,364"
05-Feb-19,107.63,108.13,106.91,107.44,"2,515,863,999","11,253,035,388"
06-Feb-19,107.57,107.57,102.93,104.92,"2,593,048,199","10,990,266,833"
07-Feb-19,104.84,106.06,104.41,104.54,"2,326,764,622","10,951,652,648"
08-Feb-19,104.65,119.81,104.19,119.27,"3,656,841,347","12,496,945,336"
09-Feb-19,119.21,120.69,118,119.43,"2,884,650,400","12,515,870,173"
10-Feb-19,119.41,124.85,117.11,124.81,"3,148,766,590","13,080,881,910"
11-Feb-19,124.87,124.87,120.31,121.3,"3,222,473,887","12,714,795,026"
12-Feb-19,121.18,123.47,119.6,122.57,"3,149,576,429","12,849,965,121"
13-Feb-19,122.54,125.55,121.61,122.55,"3,386,585,799","12,849,605,819"
14-Feb-19,122.42,124.45,121.33,121.39,"3,331,701,628","12,729,213,675"
15-Feb-19,121.45,123.66,121.37,122.1,"3,021,741,615","12,805,280,766"
16-Feb-19,122.4,124.13,122.3,123.26,"2,905,833,287","12,928,550,184"
17-Feb-19,123.18,134.46,123.09,133.6,"4,236,081,130","14,014,695,490"
18-Feb-19,133.03,147.69,133,146.1,"5,387,525,773","15,327,852,479"
19-Feb-19,146.4,149.93,145.13,145.35,"5,310,842,625","15,250,901,019"
20-Feb-19,145.17,149.55,142.5,149.55,"4,500,094,965","15,694,462,393"
21-Feb-19,149.35,149.35,144.56,146.13,"3,995,766,856","15,337,145,738"
22-Feb-19,146.07,149.27,145.21,149.09,"3,731,099,284","15,649,961,167"
23-Feb-19,148.68,159.13,147.33,158.8,"4,519,468,458","16,670,632,412"
24-Feb-19,158.9,165.55,135.85,135.85,"5,957,715,043","14,263,873,721"
25-Feb-19,135.5,142.53,135.48,139.82,"4,914,392,068","14,682,597,926"
26-Feb-19,139.65,139.98,136.58,138.09,"3,791,292,839","14,502,464,167"
27-Feb-19,138.03,141.34,131.6,136.13,"4,469,776,860","14,298,070,644"
28-Feb-19,136.28,138.85,135.66,136.75,"4,535,438,953","14,365,118,213"
01-Mar-19,136.84,139,136.43,136.44,"3,756,124,824","14,335,957,425"
02-Mar-19,136.35,137.18,132.44,134.21,"3,747,176,425","14,103,698,392"
03-Mar-19,134.79,135.85,131.33,132.25,"3,454,374,053","13,900,679,027"
04-Mar-19,132.16,132.73,125.4,127.77,"4,008,171,341","13,432,896,659"
05-Mar-19,127.79,138.23,126.74,137.82,"4,764,849,990","14,492,117,352"
06-Mar-19,137.96,139.97,136.15,138.79,"4,589,054,219","14,590,867,639"
07-Mar-19,138.94,140.86,137.27,138.03,"4,339,206,292","14,513,398,954"
08-Mar-19,138.31,139.5,133.56,135.13,"4,678,816,794","14,209,542,041"
09-Mar-19,134.89,139.12,134.68,137.97,"5,011,918,715","14,509,873,018"
10-Mar-19,138.18,138.27,135.69,136.76,"4,578,438,499","14,384,860,876"
11-Mar-19,136.85,137.35,133.1,133.83,"4,689,807,419","14,079,044,648"
12-Mar-19,134.01,135.27,130.94,134.44,"4,709,988,000","14,144,929,392"
13-Mar-19,134.61,134.61,132.72,133.26,"4,265,162,099","14,022,610,219"
14-Mar-19,133.2,135.18,132.75,133.71,"4,476,532,147","14,071,628,064"
15-Mar-19,133.57,138.4,133.57,137.69,"4,506,861,856","14,492,364,551"
16-Mar-19,137.91,144.56,137.91,142.4,"4,839,003,569","14,989,691,491"
17-Mar-19,142.24,142.37,139.32,140,"3,827,157,729","14,739,201,597"
18-Mar-19,140.1,142.27,138.84,139.37,"4,551,739,879","14,675,181,094"
19-Mar-19,139.25,140.99,139.14,140.52,"4,251,488,129","14,797,612,389"
20-Mar-19,140.48,140.95,138.31,140.69,"4,664,134,462","14,817,151,375"
21-Mar-19,140.48,141,135.86,136.64,"5,087,247,796","14,392,427,839"
22-Mar-19,136.56,138.79,136.23,137.18,"4,490,899,266","14,451,740,115"
23-Mar-19,137.04,139.39,136.91,138.24,"4,436,568,613","14,565,143,357"
24-Mar-19,138.32,138.38,136.31,136.99,"4,266,845,458","14,434,995,337"
25-Mar-19,137.08,137.7,133.49,135.03,"4,480,516,753","14,230,733,149"
26-Mar-19,135.05,135.46,133.76,135.46,"4,499,271,679","14,277,816,266"
27-Mar-19,135.45,141.08,135.34,140.99,"5,228,240,093","14,862,394,451"
28-Mar-19,141.01,141.01,138.43,139.42,"4,163,212,475","14,698,609,599"
29-Mar-19,139.34,142.55,138.05,142.5,"5,125,602,702","15,025,361,637"
30-Mar-19,142.36,149.61,141.03,142.09,"5,144,662,127","14,984,615,423"
31-Mar-19,142.14,142.19,140.7,141.51,"4,249,050,197","14,925,533,137"
01-Apr-19,141.47,142.73,140.74,141.83,"4,611,999,536","14,960,828,861"
02-Apr-19,141.84,165.23,141.64,163.96,"9,826,645,698","17,297,572,365"
03-Apr-19,164.01,178.32,157.32,161.46,"10,622,456,246","17,035,703,564"
04-Apr-19,161.43,164.93,155.24,158.05,"7,953,123,529","16,678,477,300"
05-Apr-19,158.02,167.22,157.44,165.51,"7,531,316,908","17,468,192,986"
06-Apr-19,165.51,172.52,161.8,165.95,"7,167,016,221","17,516,082,778"
07-Apr-19,165.98,175.21,164.93,174.53,"7,596,176,020","18,424,576,820"
08-Apr-19,174.45,184.38,174.16,180.26,"9,304,964,610","19,031,640,376"
09-Apr-19,180.22,180.25,175.09,176.11,"7,632,529,578","18,596,496,042"
10-Apr-19,176.07,183.13,175.23,177.34,"7,856,924,879","18,728,058,767"
11-Apr-19,177.34,177.49,162.32,165.5,"7,859,383,417","17,479,876,008"
12-Apr-19,165.34,166.13,161.03,164.74,"6,237,185,309","17,401,765,647"
13-Apr-19,164.62,166.36,163.01,164.51,"4,959,301,561","17,380,468,169"
14-Apr-19,164.48,168.59,162.78,167.84,"4,846,298,303","17,734,050,269"
15-Apr-19,167.9,168.82,159.56,161.57,"5,672,311,824","17,074,367,783"
16-Apr-19,161.53,167.67,160.89,167.62,"5,180,105,341","17,715,913,572"
17-Apr-19,167.55,168.94,165.5,166.95,"5,596,102,715","17,647,086,048"
18-Apr-19,166.91,175.37,166.67,173.81,"6,971,581,464","18,374,913,022"
19-Apr-19,173.79,173.98,170.62,173.71,"6,541,053,061","18,366,130,180"
20-Apr-19,173.72,176.71,171.79,173.75,"6,142,567,812","18,373,023,202"
21-Apr-19,173.72,174.42,167.43,170.05,"6,005,571,688","17,983,602,095"
22-Apr-19,170.02,173.07,168.73,171.87,"6,094,878,077","18,179,292,263"
